id,original_title,original_authors,original_venue,original_year,rank,candidate_doi,candidate_title,candidate_container,candidate_year,crossref_score,title_similarity,confirmed
pub-conf-007,Modeling Stopped Vehicle Dynamics on Urban Backstreets via GraphLSTM-Attn,"Jiwon Kim, Jiyoon Lee, Youngok Kang",SIGSPATIAL '25,2025,3,10.1016/j.trc.2021.103114,Joint prediction of next location and travel time from urban vehicle trajectories using long short-term memory neural networks,Transportation Research Part C: Emerging Technologies,2021,28.776968,0.074,
pub-conf-015,Measurement and Visualization of Perceived Fear of Crime by Street Level,"Somang Kim, Jaeyeon Choi, Youngok Kang",The First Asian Cartographic Conference,2024,1,10.16879/jkca.2024.24.1.071,Measurement and Visualization of Perceived Fear of Crime by Street Level using Street View Images and Deep Learning Technology,Journal of the Korean Cartographic Association,2024,51.18978,0.625,O
pub-conf-015,Measurement and Visualization of Perceived Fear of Crime by Street Level,"Somang Kim, Jaeyeon Choi, Youngok Kang",The First Asian Cartographic Conference,2024,2,10.3390/ijgi15010018,Modeling and Explaining Perceived Fear of Crime from Street View Imagery Using a GeoAI Framework,ISPRS International Journal of Geo-Information,2025,50.80799,0.316,
pub-conf-015,Measurement and Visualization of Perceived Fear of Crime by Street Level,"Somang Kim, Jaeyeon Choi, Youngok Kang",The First Asian Cartographic Conference,2024,3,10.21189/jkugs.27.1.5,Where Do You Think is Better to Walk? Evaluation of the Perceived Walking Environment Using Street View Images and Deep Learning Model Based on Siamese Neural Network,Journal of the Korean Urban Geographical Society,2024,31.816402,0.121,
pub-conf-008,Peak-GraphTFT: A GCN-Augmented Temporal Fusion Transformer with Peak-Sensitive Learning,"Jiyoon Lee, Youngok Kang",GeoAI '25,2025,1,10.1145/3764912.3770814,Peak-GraphTFT: A GCN-Augmented Temporal Fusion Transformer with Peak-Sensitive Learning for Predicting Pedestrian Congestion in Shadow Areas,Proceedings of the 8th ACM SIGSPATIAL International Workshop on AI for Geographic Knowledge Discovery,2025,99.324776,0.611,
pub-conf-008,Peak-GraphTFT: A GCN-Augmented Temporal Fusion Transformer with Peak-Sensitive Learning,"Jiyoon Lee, Youngok Kang",GeoAI '25,2025,2,10.3390/ijgi14100381,PGTFT: A Lightweight Graph-Attention Temporal Fusion Transformer for Predicting Pedestrian Congestion in Shadow Areas,ISPRS International Journal of Geo-Information,2025,39.53306,0.182,
pub-conf-008,Peak-GraphTFT: A GCN-Augmented Temporal Fusion Transformer with Peak-Sensitive Learning,"Jiyoon Lee, Youngok Kang",GeoAI '25,2025,3,10.1109/access.2023.3254910,Temporal Peak-Management and Clustering System for Sustainable Learning With Application to the Excimer Laser Annealing Process,IEEE Access,2023,31.531784,0.167,
pub-conf-030,Measuring Human Perceptions of Urban Landscape Using Machine Learning,"Jiyoon Lee, Youngok Kang, Jiyeon Kim, Jiyoung Park",2023 International Cartographic Conference,2023,1,10.5194/ica-abs-6-135-2023,Measuring human perceptions of urban landscape using machine learning: factors affecting perceived walkability of street-view image,Abstracts of the ICA,2023,55.343452,0.563,O
pub-conf-030,Measuring Human Perceptions of Urban Landscape Using Machine Learning,"Jiyoon Lee, Youngok Kang, Jiyeon Kim, Jiyoung Park",2023 International Cartographic Conference,2023,2,10.5194/egusphere-egu26-16457,"A Machine Learning Framework for Urban Drought Risk Assessment under Future Climate Scenarios: A Case Study of Gangneung City, South Korea",,2026,30.901161,0.16,
pub-conf-030,Measuring Human Perceptions of Urban Landscape Using Machine Learning,"Jiyoon Lee, Youngok Kang, Jiyeon Kim, Jiyoung Park",2023 International Cartographic Conference,2023,3,10.3390/ijgi13120434,A Dynamic Algorithm for Measuring Pedestrian Congestion and Safety in Urban Alleyways,ISPRS International Journal of Geo-Information,2024,31.989677,0.105,
pub-conf-017,Evaluating Urban Walkability: Analyzing Physical Walking Environment Using Street View Images,"Jaeyeon Choi, Seungmin Noh, Somang Kim, Youngok Kang",The First Asian Cartographic Conference,2024,1,10.16879/jkca.2024.24.3.045,Comparison of Physical and Perceived Walking Environment using Street View Images and Deep Learning Technology,Journal of the Korean Cartographic Association,2024,44.69805,0.389,
pub-conf-017,Evaluating Urban Walkability: Analyzing Physical Walking Environment Using Street View Images,"Jaeyeon Choi, Seungmin Noh, Somang Kim, Youngok Kang",The First Asian Cartographic Conference,2024,2,10.1007/s41324-025-00656-7,Modeling and explaining perceived walkability in urban environments using street view images and explainable AI,Spatial Information Research,2025,62.225418,0.316,
pub-conf-017,Evaluating Urban Walkability: Analyzing Physical Walking Environment Using Street View Images,"Jaeyeon Choi, Seungmin Noh, Somang Kim, Youngok Kang",The First Asian Cartographic Conference,2024,3,10.21189/jkugs.27.1.5,Where Do You Think is Better to Walk? Evaluation of the Perceived Walking Environment Using Street View Images and Deep Learning Model Based on Siamese Neural Network,Journal of the Korean Urban Geographical Society,2024,50.687614,0.188,
pub-conf-018,Anomaly Detection and Spatiotemporal Analysis of Pedestrian Trajectories Using VAE,"Juyeon Cho, Youngok Kang",The First Asian Cartographic Conference,2024,1,10.7319/kogsis.2024.32.3.029,Anomaly Detection in Pedestrian Trajectories Using Variational Auto Encoder,Journal of Korean Society for Geospatial Information Science,2024,37.033066,0.357,
pub-conf-018,Anomaly Detection and Spatiotemporal Analysis of Pedestrian Trajectories Using VAE,"Juyeon Cho, Youngok Kang",The First Asian Cartographic Conference,2024,2,10.3390/ijgi14110438,Context-Aware Anomaly Detection of Pedestrian Trajectories in Urban Back Streets Using a Variational Autoencoder,ISPRS International Journal of Geo-Information,2025,54.979965,0.316,
pub-conf-018,Anomaly Detection and Spatiotemporal Analysis of Pedestrian Trajectories Using VAE,"Juyeon Cho, Youngok Kang",The First Asian Cartographic Conference,2024,3,10.53759/7669/jmc202404013,A Comparative Analysis of IoT based Network Anomaly Detection and Prediction Using Vector Autoregressive Models,Journal of Machine and Computing,2024,27.992632,0.316,
pub-conf-016,Road Congestion and Safety Algorithm for Alleyway Utilizing Trajectories Based on CCTV,"Jiyoon Lee, Youngok Kang",The First Asian Cartographic Conference,2024,1,10.3390/ijgi13120434,A Dynamic Algorithm for Measuring Pedestrian Congestion and Safety in Urban Alleyways,ISPRS International Journal of Geo-Information,2024,39.980515,0.263,
pub-conf-016,Road Congestion and Safety Algorithm for Alleyway Utilizing Trajectories Based on CCTV,"Jiyoon Lee, Youngok Kang",The First Asian Cartographic Conference,2024,2,10.3390/ijgi14020077,"Correction: Lee, J.; Kang, Y. A Dynamic Algorithm for Measuring Pedestrian Congestion and Safety in Urban Alleyways. ISPRS Int. J. Geo-Inf. 2024, 13, 434",ISPRS International Journal of Geo-Information,2025,37.01677,0.161,
pub-conf-016,Road Congestion and Safety Algorithm for Alleyway Utilizing Trajectories Based on CCTV,"Jiyoon Lee, Youngok Kang",The First Asian Cartographic Conference,2024,3,10.3390/ijgi14100381,PGTFT: A Lightweight Graph-Attention Temporal Fusion Transformer for Predicting Pedestrian Congestion in Shadow Areas,ISPRS International Journal of Geo-Information,2025,28.543285,0.08,
pub-conf-091,A Strategic Plan for Application of Creative Education Based on Geospatial Technology,"강영옥, 조나혜, 강애띠, 박지영",International Conference on Geospatial Information Science 2013,2013,1,10.17936/pkelt.2012.24.4.009,A study of primary English vocabulary teaching strategies using content-based informational texts,English Language Teaching,2012,23.191473,0.136,
pub-conf-059,Understanding Tourists' Image of Seoul with Geotagged Photos Using CNN,강영옥,2019 International Conference on Geospatial Information Science,2019,1,10.17936/pkelt.2012.24.4.009,A study of primary English vocabulary teaching strategies using content-based informational texts,English Language Teaching,2012,23.440922,0.095,
pub-conf-075,Exploration of Spatio-temporal Patterns of Students' Movement in Field Trip by Visualizing the Log Data,"조나혜, 강영옥",The 28th International Cartographic Conference (ICC 2017),2017,1,,,,,,,
pub-conf-088,Mapping of the Stress Expressions Which Are Extracted from Tweet Data,"강애띠, 강영옥",The 26th International Cartographic Conference (ICC 2015),2015,1,,,,,,,
pub-conf-092,Current State and Research Topics to Infer Home Location of Twitter Messages,"강애띠, 강영옥",International Conference on Geospatial Information Science 2013,2013,1,,,,,,,
