id,original_title,original_authors,original_venue,original_year,candidate_doi,candidate_title,candidate_container,candidate_year,crossref_score,title_similarity,confirmed,note
pub-jour-070,모바일 현장체험학습 저작도구 개발을 위한 기초연구,"강영옥, 조나혜","한국공간정보학회지, 23(3), 123-132",2015,,,,,,,,no_candidate
pub-jour-071,타임라인데이터를 이용한 트위터 사용자의 거주 지역 유추방법,"강애띠, 강영옥","한국공간정보학회지, 23(3), 69-81",2015,,,,,,,,no_candidate
pub-jour-072,국내 오픈소스 공간정보 소프트웨어 생태계 분석,"강영옥, 강애띠, 권회윤","한국공간정보학회지, 22(6), 67-79",2014,,,,,,,,no_candidate
pub-jour-074,공간정보의 교육 분야 활용을 위한 전략연구,"강영옥, 조나혜","한국공간정보학회지, 22(2), 19-29",2014,,,,,,,,no_candidate
pub-jour-075,구글 API를 활용한 공공데이터의 지리적 시각화 연구,"김현덕, 강영옥","한국지도학회지, 13(1), 1-15",2014,,,,,,,,no_candidate
pub-jour-076,트윗을 이용한 서울시 주거환경 만족의 공간적 특성 분석 - 도시정책지표 보완을 위한 활용방안 모색,"박재희, 강영옥","한국도시지리학회지, 17(1), 43-56",2014,,,,,,,,no_candidate
pub-jour-077,지리개념 이해를 위한 지오 온톨로지 구축: 해안지형을 사례로,"조나혜, 강영옥","한국지도학회지, 13(3), 99-111",2013,,,,,,,,no_candidate
pub-jour-079,지리적 관점에서 본 세계유산 창덕궁의 현장체험학습 설계 및 모바일 시스템 구현,"한상미, 강영옥","교과교육학연구, 17(3), 645-666",2013,,,,,,,,no_candidate
pub-jour-080,국가기초구역기반 의사결정지원시스템 구축전략,"강영옥, 강애띠","한국공간정보학회지, 21(2), 85-97",2013,,,,,,,,no_candidate
pub-jour-081,온톨로지 기반의 인문지리정보 통합시스템 구축자료 검증방안,"강영옥, 조나혜","한국지도학회지, 13(3), 99-111",2013,,,,,,,,no_candidate
pub-jour-082,선형기반의 도로명주소 및 국가기초구역 통합데이터 모델 연구,"강영옥, 장예진","한국지도학회지, 12(3), 63-79",2012,,,,,,,,no_candidate
pub-jour-083,모바일 증강현실 기술을 이용한 역사관광정보 서비스에 관한 연구,"정다운, 강영옥","한국공간정보학회지, 12(3), 58-70",2012,,,,,,,,no_candidate
pub-jour-084,Mobile Web 2.0 개념의 지역 기반 U-서비스 모델 연구: 은평 뉴타운의 Mobile U-Portal 서비스모델,"이주연, 강영옥","한국도시지리학회지, 15(1), 87-101",2012,,,,,,,,no_candidate
pub-jour-085,"국가기초구역 설정 방법 비교 연구 - 종로구, 아산시, 태안군을 사례로","강영옥, 조선희","한국지도학회지, 12(1), 113-127",2012,,,,,,,,no_candidate
pub-jour-086,U-City 서비스에 대한 만족도 분석 및 발전 방안 연구: 부산시 시민체감 서비스를 사례로,"피민희, 강영옥","한국도시지리학회지, 13(3), 75-87",2010,,,,,,,,no_candidate
pub-jour-087,국가 기본공간정보로서 새주소 자료 구축전략,"강영옥, 이주연","한국지도학회지, 10(2), 113-127",2010,,,,,,,,no_candidate
pub-jour-088,구글어스 기반의 지리교육 사이트 설계 및 구현,"이선주, 강영옥","한국공간정보학회지, 18(2), 113-127",2010,,,,,,,,no_candidate
pub-jour-089,공간정보 알고리즘 및 시스템: GeoRSS 기능을 활용한 축제정보 사이트 구축,"조아라, 강영옥","한국공간정보학회 논문지, 18(1), 89-99",2010,,,,,,,,no_candidate
pub-jour-090,U-Eco City 구축 가이드라인 프레임워크 개발,"강영옥, 피민희, 조아라, 이주연","한국공간정보시스템학회 논문지, 12(1), 85-93",2010,,,,,,,,no_candidate
pub-jour-091,U-Eco City 구축 가이드라인 작성을 위한 기초연구,강영옥,"한국공간정보시스템학회 논문지, 11(2), 170-176",2009,,,,,,,,no_candidate
pub-jour-092,소지역 통계공표구역 설정지침 보완연구,"강영옥, 장세진","한국지도학회지, 8(2), 47-57",2008,,,,,,,,no_candidate
pub-jour-093,소지역 통계공표구역 유지관리방안 연구,"강영옥, 장세진","한국도시지리학회지, 11(3), 53-65",2008,,,,,,,,no_candidate
pub-jour-094,웹2.0 환경변화가 지리학 연구에 미치는 영향 고찰,강영옥,"대한지리학회지, 43(3), 399-406",2008,,,,,,,,no_candidate
pub-jour-095,유비쿼터스 기술을 이용한 다중집합장소의 시민서비스 고도화 방안: 지리공간 웹 기반 서비스 제공을 중심으로,"강영옥, 김희원","한국GIS학회지, 16(1), 79-99",2008,,,,,,,,no_candidate
pub-jour-097,서울시 측량기준점 정비 및 활용대책,"강영옥, 이석민, 정상희, 이양재","한국지도학회지, 7(1), 45-53",2007,,,,,,,,no_candidate
pub-jour-098,소지역 통계구역 획정방안 연구,"강영옥, 윤은주, 정재희","한국도시지리학회지, 10(1), 15-36",2007,,,,,,,,no_candidate
