id,original_title,original_authors,original_year,kci_doi,kci_uci,kci_url,kci_matched_title,totalCount,title_similarity,suggested_link,note,confirmed
pub-jour-046,통신 데이터를 활용한 도보관광코스 유동인구 추정 및 분석,"박예림, 강영옥",2019,10.22640/lxsiri.2019.49.1.181,,http://data.doi.or.kr/10.22640/lxsiri.2019.49.1.181,통신 데이터를 활용한 도보관광코스 유동인구 추정 및 분석,1,1,https://doi.org/10.22640/lxsiri.2019.49.1.181,,O
pub-jour-047,지오태깅된 사진 데이터를 활용한 서울방문 관광객의 주요 관광지 분석,"김나연, 강영옥",2019,,,,,0,,,결과 없음,
pub-jour-048,소셜 네트워크 데이터를 활용한 서울방문 관광객의 선호 관광지 시공간 특성 분석,"김나연, 강영옥, 김동은, 박예림, 이주윤",2019,10.23129/seouls.20.1.201903.81,,,소셜 네트워크 데이터를 활용한 서울방문 관광객의 선호 관광지 시공간 특성 분석,1,1,https://doi.org/10.23129/seouls.20.1.201903.81,,O
pub-jour-049,플리커 데이터의 텍스트마이닝을 통한 서울방문 외국인 관광객의 서울 이미지 분석,"박예림, 강영옥, 김동은, 이주윤, 김나연",2019,10.7319/kogsis.2019.27.1.011,,,플리커 데이터의 텍스트마이닝을 통한 서울방문 외국인 관광객의 서울 이미지 분석,1,1,https://doi.org/10.7319/kogsis.2019.27.1.011,,O
pub-jour-050,궤적 데이터 마이닝을 통한 서울방문 관광객의 이동 특성 분석,"이주윤, 강영옥, 김나연, 김동은, 박예림",2018,,,,,0,,,결과 없음,
pub-jour-051,트윗데이터를 활용한 스트레스 토픽의 지역별 특징 분석,"강애띠, 강영옥",2018,10.16879/jkca.2018.18.2.053,,,트윗데이터를 활용한 스트레스 토픽의 지역별 특징 분석,1,1,https://doi.org/10.16879/jkca.2018.18.2.053,,O
pub-jour-052,도로 네트워크를 따른 교통사고 핫스팟 시각화,"조나혜, 전철민, 강영옥",2018,,,,,0,,,결과 없음,
pub-jour-053,국내 오픈소스 공간정보 소프트웨어 관련 기업의 비즈니스 모델 제안,"손세린, 강영옥",2018,,,,,0,,,결과 없음,
pub-jour-055,STP(Space Time Path)를 이용한 로그데이터의 시각화 및 특징분석,"조나혜, 강영옥",2018,,,,,0,,,결과 없음,
pub-jour-056,오픈소스 공간정보 소프트웨어 도입 가이드라인 연구,"강영옥, 손세린",2017,,,,오픈소스 공간정보 소프트웨어 도입 가이드라인 연구,1,1,,결과 없음,
pub-jour-057,의사결정나무와 시공간 시각화를 통한 서울시 교통사고 심각도 요인 분석,"강영옥, 손세린, 조나혜",2017,10.22640/lxsiri.2017.47.2.233,,,의사결정나무와 시공간 시각화를 통한 서울시 교통사고 심각도 요인 분석,1,1,https://doi.org/10.22640/lxsiri.2017.47.2.233,,O
pub-jour-058,스마트폰과 공간정보기술을 활용한 수업모듈의 개발과 적용: 우리 지역 소음지도 만들기,"김지연, 강영옥",2017,,,,스마트폰과 공간정보기술을 활용한 수업모듈의 개발과 적용: 우리 지역 소음지도 만들기,1,1,,결과 없음,
pub-jour-059,서울시 여성운전자 교통사고의 시공간 특성 분석,"손세린, 강영옥",2017,,,,서울시 여성운전자 교통사고의 시공간 특성 분석,1,1,,결과 없음,
pub-jour-060,공간정보기술 활용 교육에 대한 교사 요구사항 분석 및 교육서비스 제공 전략,"강영옥, 박지영",2017,,,,공간정보기술 활용 교육에 대한 교사 요구사항 분석 및 교육서비스 제공 전략,1,1,,결과 없음,
pub-jour-063,오픈소스 공간정보 소프트웨어 비즈니스 모델 및 국내 관련기업의 비즈니스 활성화 전략,"강영옥, 손세린",2016,,,,오픈소스 공간정보 소프트웨어 비즈니스 모델 및 국내 관련기업의 비즈니스 활성화 전략,1,1,,결과 없음,
pub-jour-064,로그데이터의 시공간 데이터마이닝 및 시각화 연구동향,"조나혜, 강영옥",2016,,,,로그데이터의 시공간 데이터마이닝 및 시각화 연구동향,1,1,,결과 없음,
pub-jour-068,모바일 기반 현장체험학습 시스템의 사용성 평가,"강영옥, 조나혜",2016,10.24231/rici.2016.20.2.140,,,모바일 기반 현장체험학습 시스템의 사용성 평가,1,1,https://doi.org/10.24231/rici.2016.20.2.140,,O
pub-jour-069,국내 오픈소스 공간정보 소프트웨어 활성화를 위한 요구사항 분석,"강영옥, 권회윤",2015,,,,국내 오픈소스 공간정보 소프트웨어 활성화를 위한 요구사항 분석,1,1,,결과 없음,
pub-jour-070,모바일 현장체험학습 저작도구 개발을 위한 기초연구,"강영옥, 조나혜",2015,,,,모바일 현장체험학습 저작도구 개발을 위한 기초연구,1,1,,결과 없음,
pub-jour-071,타임라인데이터를 이용한 트위터 사용자의 거주 지역 유추방법,"강애띠, 강영옥",2015,,,,타임라인데이터를 이용한 트위터 사용자의 거주 지역 유추방법,1,1,,결과 없음,
pub-jour-072,국내 오픈소스 공간정보 소프트웨어 생태계 분석,"강영옥, 강애띠, 권회윤",2014,,,,국내 오픈소스 공간정보 소프트웨어 생태계 분석,1,1,,결과 없음,
pub-jour-074,공간정보의 교육 분야 활용을 위한 전략연구,"강영옥, 조나혜",2014,,,,,0,,,결과 없음,
pub-jour-075,구글 API를 활용한 공공데이터의 지리적 시각화 연구,"김현덕, 강영옥",2014,,,,구글 API를 활용한 공공데이터의 지리적 시각화 연구,1,1,,결과 없음,
pub-jour-076,트윗을 이용한 서울시 주거환경 만족의 공간적 특성 분석 - 도시정책지표 보완을 위한 활용방안 모색,"박재희, 강영옥",2014,,,,트윗을 이용한 서울시 주거환경 만족의 공간적 특성 분석 - 도시정책지표 보완을 위한 활용방안 모색 -,1,1,,결과 없음,
pub-jour-077,지리개념 이해를 위한 지오 온톨로지 구축: 해안지형을 사례로,"조나혜, 강영옥",2013,,,http://www.cartography.or.kr/public.htm,지리개념 이해를 위한 지오 온톨로지 구축: 해안지형을 사례로,1,1,http://www.cartography.or.kr/public.htm,,O
pub-jour-078,온라인 국가지도집 발전방안에 관한 연구,"박지영, 강영옥",2013,,,http://www.cartography.or.kr/public.htm,온라인 국가지도집 발전방안에 관한 연구,1,1,http://www.cartography.or.kr/public.htm,,O
pub-jour-079,지리적 관점에서 본 세계유산 창덕궁의 현장체험학습 설계 및 모바일 시스템 구현,"한상미, 강영옥",2013,10.24231/rici.2013.17.3.645,,,지리적 관점에서 본 세계유산 창덕궁의 현장체험학습 설계 및 모바일 시스템 구현,1,1,https://doi.org/10.24231/rici.2013.17.3.645,,O
pub-jour-080,국가기초구역기반 의사결정지원시스템 구축전략,"강영옥, 강애띠",2013,10.12672/ksis.2013.21.2.085,,,국가기초구역기반 의사결정지원시스템 구축전략,1,1,https://doi.org/10.12672/ksis.2013.21.2.085,,O
pub-jour-081,온톨로지 기반의 인문지리정보 통합시스템 구축자료 검증방안,"강영옥, 조나혜",2013,,,,온톨로지 기반의 인문지리정보 통합시스템 구축자료 검증방안,1,1,,결과 없음,
pub-jour-082,선형기반의 도로명주소 및 국가기초구역 통합데이터 모델 연구,"강영옥, 장예진",2012,,,,선형기반의 도로명주소 및 국가기초구역 통합데이터 모델 연구,1,1,,결과 없음,
pub-jour-083,모바일 증강현실 기술을 이용한 역사관광정보 서비스에 관한 연구,"정다운, 강영옥",2012,,G704+INS000001280-ART001660386,,모바일 증강현실 기술을 이용한 역사관광정보 서비스에 관한 연구,1,1,,UCI만 있음,
pub-jour-084,Mobile Web 2.0 개념의 지역 기반 U-서비스 모델 연구: 은평 뉴타운의 Mobile U-Portal 서비스모델,"이주연, 강영옥",2012,,,,,0,,,결과 없음,
pub-jour-085,"국가기초구역 설정 방법 비교 연구 - 종로구, 아산시, 태안군을 사례로","강영옥, 조선희",2012,,G704+INS000000569-ART001658844,,"국가기초구역 설정 방법 비교 연구 - 종로구, 아산시, 태안군을 사례로 -",1,1,,UCI만 있음,
pub-jour-086,U-City 서비스에 대한 만족도 분석 및 발전 방안 연구: 부산시 시민체감 서비스를 사례로,"피민희, 강영옥",2010,,,,,0,,,결과 없음,
pub-jour-087,국가 기본공간정보로서 새주소 자료 구축전략,"강영옥, 이주연",2010,,G704+INS000000569-ART001515963,,국가 기본공간정보로서 새주소 자료 구축전략,1,1,,UCI만 있음,
pub-jour-088,구글어스 기반의 지리교육 사이트 설계 및 구현,"이선주, 강영옥",2010,,G704+INS000001280-ART001463452,,구글어스 기반의 지리교육 사이트 설계 및 구현,1,1,,UCI만 있음,
pub-jour-089,공간정보 알고리즘 및 시스템: GeoRSS 기능을 활용한 축제정보 사이트 구축,"조아라, 강영옥",2010,,,,,0,,,결과 없음,
pub-jour-090,U-Eco City 구축 가이드라인 프레임워크 개발,"강영옥, 피민희, 조아라, 이주연",2010,,G704+INS000000057-ART001436940,,U-Eco City 구축 가이드라인 프레임워크 개발,1,1,,UCI만 있음,
pub-jour-091,U-Eco City 구축 가이드라인 작성을 위한 기초연구,강영옥,2009,,G704+INS000000057-ART001361399,,U-Eco City 구축 가이드라인 작성을 위한 기초연구,1,1,,UCI만 있음,
pub-jour-092,소지역 통계공표구역 설정지침 보완연구,"강영옥, 장세진",2008,,,,,0,,,결과 없음,
pub-jour-093,소지역 통계공표구역 유지관리방안 연구,"강영옥, 장세진",2008,,G704+INS000001604-ART001303904,,소지역 통계공표구역 유지관리방안 연구,1,1,,UCI만 있음,
pub-jour-094,웹2.0 환경변화가 지리학 연구에 미치는 영향 고찰,강영옥,2008,,G704+INS000001476-ART001257149,,웹2.0 환경변화가 지리학 연구에 미치는 영향 고찰,1,1,,UCI만 있음,
pub-jour-095,유비쿼터스 기술을 이용한 다중집합장소의 시민서비스 고도화 방안: 지리공간 웹 기반 서비스 제공을 중심으로,"강영옥, 김희원",2008,,,,,0,,,결과 없음,
pub-jour-096,지방자치단체의 Enterprise GIS 고도화전략: 데이터중심에서 서비스중심 아키텍처로,강영옥,2007,,,,,0,,,결과 없음,
pub-jour-097,서울시 측량기준점 정비 및 활용대책,"강영옥, 이석민, 정상희, 이양재",2007,,,,,0,,,결과 없음,
pub-jour-098,소지역 통계구역 획정방안 연구,"강영옥, 윤은주, 정재희",2007,,G704+INS000001604-ART001052866,,소지역 통계구역 획정방안 연구,1,1,,UCI만 있음,
